firm_id,display_name,canonical_domain,valid_observation_denominator,named_observations,cited_domain_observations,source_only_observations,observed_observations,complete_cell_denominator,majority_observed_cells,majority_named_cells,majority_cited_cells,query_breadth,query_breadth_denominator,engine_breadth,engine_breadth_denominator,stable_present_cells,variable_cells,stable_absent_cells,per_engine
barclays.co.uk,Barclays Wealth Management,barclays.co.uk,225,1,0,0,1,75,0,0,0,0,25,0,3,0,1,74,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
bbtgroup.co.uk,BBT Group,bbtgroup.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
beaconifa.co.uk,Beacon IFA,beaconifa.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
beaconwm.co.uk,Beacon Wealth Management,beaconwm.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
beaumontwealth.co.uk,Beaumont Wealth,beaumontwealth.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
beckettinvest.com,Beckett Investment Management,beckettinvest.com,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
beckettsfs.co.uk,Becketts Financial Services,beckettsfs.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
boolers.co.uk,Boolers,boolers.co.uk,225,0,4,4,4,75,1,0,1,1,25,1,3,1,1,73,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":1,""majority_named_cells"":0,""majority_observed_cells"":1}]"
brigroup.co.uk,BRI Wealth Management,brigroup.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
brooksmacdonald.com,Brooks Financial,brooksmacdonald.com,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
canaccordgenuity.com,Canaccord Genuity Wealth Management,canaccordgenuity.com,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
canterholland.com,Canter Holland,canterholland.com,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
capelin.co.uk,Capelin Financial Management,capelin.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
capital.co.uk,Capital Partners,capital.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
care-fees-annuity.co.uk,Care Fees Annuity,care-fees-annuity.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
carefeesplanning.co.uk,Care Fees Planning,carefeesplanning.co.uk,225,4,4,0,4,75,1,1,1,1,25,1,3,1,1,73,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":1,""majority_named_cells"":1,""majority_observed_cells"":1}]"
casfin.co.uk,Castlegate Financial Management,casfin.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
cazenovecapital.com,Cazenove Capital,cazenovecapital.com,225,6,2,0,6,75,2,2,1,2,25,2,3,1,2,72,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":1,""majority_named_cells"":1,""majority_observed_cells"":1},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":1,""majority_observed_cells"":1}]"
charles-stanley.co.uk,Charles Stanley,charles-stanley.co.uk,225,4,3,3,7,75,2,1,1,2,25,1,3,0,5,70,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":1,""majority_named_cells"":1,""majority_observed_cells"":2},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
chasedevere.co.uk,Chase de Vere,chasedevere.co.uk,225,1,1,1,2,75,0,0,0,0,25,0,3,0,2,73,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
