phase,run_date,query_id,intent_group,locale,engine,repetition,model,valid_grounded_response,firm_id,display_name,canonical_domain,named_in_answer,matched_name_or_alias,cited_domain,matched_domain,citation_url,source_only,observed,match_status,ambiguous_terms
production,2026-07-30,FA-AE-05,advice_education,UK national,gemini,1,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,gemini,2,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,gemini,3,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,openai,1,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,openai,2,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,openai,3,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,perplexity,1,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,perplexity,2,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-AE-05,advice_education,UK national,perplexity,3,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",gemini,1,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",gemini,2,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",gemini,3,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",openai,1,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",openai,2,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",openai,3,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
